"filename", "language", "TypeScript JSX", "JavaScript", "JSON with Comments", "XML", "JSON", "TypeScript", "Markdown", "comment", "blank", "total"
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/ManageExpense/AddExpenseButton.tsx", "TypeScript JSX", 75, 0, 0, 0, 0, 0, 0, 3, 9, 87
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/ManageExpense/ExpenseForm.tsx", "TypeScript JSX", 1165, 0, 0, 0, 0, 0, 0, 39, 52, 1256
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/ManageExpense/ExpensePicker.js", "JavaScript", 0, 55, 0, 0, 0, 0, 0, 0, 4, 59
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/ManageExpense/Input.tsx", "TypeScript JSX", 93, 0, 0, 0, 0, 0, 0, 2, 6, 101
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/ManageProfile/ProfileForm.tsx", "TypeScript JSX", 250, 0, 0, 0, 0, 0, 0, 9, 18, 277
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/ManageTrip/TripForm.tsx", "TypeScript JSX", 596, 0, 0, 0, 0, 0, 0, 28, 42, 666
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/Premium/PackageItem.tsx", "TypeScript JSX", 79, 0, 0, 0, 0, 0, 0, 0, 10, 89
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/Premium/PayWall.tsx", "TypeScript JSX", 164, 0, 0, 0, 0, 0, 0, 10, 11, 185
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/Premium/PremiumConstants.tsx", "TypeScript JSX", 27, 0, 0, 0, 0, 0, 0, 10, 3, 40
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/ProfileOutput/ShareTrip.js", "JavaScript", 0, 40, 0, 0, 0, 0, 0, 6, 7, 53
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/ProfileOutput/TripHistoryItem.tsx", "TypeScript JSX", 263, 0, 0, 0, 0, 0, 0, 7, 17, 287
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/ProfileOutput/TripItem.tsx", "TypeScript JSX", 228, 0, 0, 0, 0, 0, 0, 4, 16, 248
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/ProfileOutput/TripList.tsx", "TypeScript JSX", 48, 0, 0, 0, 0, 0, 0, 0, 5, 53
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/Rating/firstStartUtil.ts", "TypeScript", 0, 0, 0, 0, 0, 40, 0, 4, 4, 48
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/UI/BackgroundGradient.tsx", "TypeScript JSX", 21, 0, 0, 0, 0, 0, 0, 0, 5, 26
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/components/UI/BottomTabBar.tsx", "TypeScript JSX", 129, 0, 0, 0, 0, 0, 0, 2, 12, 143
