"filename", "language", "TypeScript JSX", "JSON", "TypeScript", "JavaScript", "comment", "blank", "total"
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/screens/LoginScreen.tsx", "TypeScript JSX", 3, 0, 0, 0, 0, 0, 3
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/screens/ManageCategoryScreen.tsx", "TypeScript JSX", 33, 0, 0, 0, 8, 2, 43
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/screens/ManageExpense.tsx", "TypeScript JSX", 27, 0, 0, 0, 0, 1, 28
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/screens/OnboardingScreen.js", "JavaScript", 0, 0, 0, -60, -2, -6, -68
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/screens/OnboardingScreen.tsx", "TypeScript JSX", 59, 0, 0, 0, 2, 7, 68
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/screens/ProfileScreen.tsx", "TypeScript JSX", -17, 0, 0, 0, 2, -1, -16
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/screens/RatingModal.tsx", "TypeScript JSX", 88, 0, 0, 0, 3, 10, 101
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/screens/RecentExpenses.tsx", "TypeScript JSX", -2, 0, 0, 0, -1, 0, -3
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/screens/SettingsScreen.tsx", "TypeScript JSX", 5, 0, 0, 0, 3, 0, 8
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/screens/SignupScreen.tsx", "TypeScript JSX", 2, 0, 0, 0, 0, 0, 2
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/screens/SplitSummaryScreen.tsx", "TypeScript JSX", 97, 0, 0, 0, -5, 5, 97
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/screens/WelcomeScreen.js", "JavaScript", 0, 0, 0, -40, 0, -7, -47
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/store/network-context.tsx", "TypeScript JSX", 25, 0, 0, 0, 0, 8, 33
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/store/settings-context.tsx", "TypeScript JSX", 1, 0, 0, 0, 0, 0, 1
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/store/user-context.tsx", "TypeScript JSX", -49, 0, 0, 0, 55, 1, 7
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/util/category.ts", "TypeScript", 0, 0, 13, 0, 0, 1, 14
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/util/currencyExchange.ts", "TypeScript", 0, 0, 24, 0, 2, 2, 28
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/util/expense.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 1
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/util/offline-queue.ts", "TypeScript", 0, 0, -7, 0, 0, 1, -6
"/Users/hiono/Freelance/2022/TravelCostNative/TravelCostApp/util/split.ts", "TypeScript", 0, 0, 105, 0, 9, 5, 119
"Total", "-", 1275, 18, 189, -308, 99, 82, 1355
